Date,Start,End
2015-12-31,522,519
2016-12-31,544,540
2017-12-31,547,537
2018-12-31,547,562
2019-12-31,558,552
2020-12-31,577,587
2021-12-31,585,577
2022-12-31,607,594
2023-12-31,625,637
2024-12-31,647,640
2025-12-31,672,673
2026-12-31,700,703
2027-12-31,713,725
2028-12-31,733,735
2029-12-31,757,776
2030-12-31,760,762
2031-12-31,771,790
2032-12-31,804,817
2033-12-31,843,841
2034-12-31,878,874
2035-12-31,880,904
2036-12-31,917,908
2037-12-31,946,929
2038-12-31,957,953
2039-12-31,962,960
2040-12-31,988,1017
2041-12-31,1023,1010
2042-12-31,1072,1090
2043-12-31,1095,1126
2044-12-31,1150,1120
2045-12-31,1203,1183
2046-12-31,1237,1268
2047-12-31,1266,1246
2048-12-31,1285,1302
2049-12-31,1336,1356
2050-12-31,1388,1424
2051-12-31,1402,1394
2052-12-31,1459,1420
2053-12-31,1502,1478
2054-12-31,1546,1563
2055-12-31,1558,1599
2056-12-31,1587,1556
2057-12-31,1659,1639
2058-12-31,1708,1697
2059-12-31,1742,1733
2060-12-31,1822,1826
2061-12-31,1851,1847
2062-12-31,1908,1947
2063-12-31,1926,1872
2064-12-31,2002,1985
2065-12-31,2056,2019
2066-12-31,2147,2156
2067-12-31,2235,2297
2068-12-31,2262,2308
2069-12-31,2336,2305
2070-12-31,2337,2355
2071-12-31,2352,2362
2072-12-31,2430,2358
2073-12-31,2478,2535
2074-12-31,2546,2481
2075-12-31,2575,2521
2076-12-31,2686,2659
2077-12-31,2798,2791
2078-12-31,2856,2859
2079-12-31,2960,3007
2080-12-31,3035,3072
2081-12-31,3036,3058
2082-12-31,3119,3123
2083-12-31,3177,3113
2084-12-31,3249,3239
2085-12-31,3273,3256
2086-12-31,3315,3250
2087-12-31,3405,3402
2088-12-31,3508,3423
2089-12-31,3521,3542
2090-12-31,3599,3619
2091-12-31,3710,3686
2092-12-31,3757,3747
2093-12-31,3917,3987
2094-12-31,4027,4114
2095-12-31,4079,3959
2096-12-31,4124,4172
2097-12-31,4288,4301
2098-12-31,4422,4465
2099-12-31,4437,4440
2100-12-31,4498,4504
2101-12-31,4559,4562
2102-12-31,4695,4803
2103-12-31,4875,4766
2104-12-31,4932,4786
2105-12-31,4994,4844
2106-12-31,5193,5120
2107-12-31,5416,5345
2108-12-31,5554,5607
2109-12-31,5633,5665
2110-12-31,5694,5604
2111-12-31,5913,5938
2112-12-31,6182,6013
2113-12-31,6349,6340
2114-12-31,6519,6543
2115-12-31,6705,6600
2116-12-31,6935,7072
2117-12-31,7234,7099
2118-12-31,7506,7304
2119-12-31,7815,7999
2120-12-31,8205,8397
2121-12-31,8364,8557
2122-12-31,8462,8543
2123-12-31,8828,8607
2124-12-31,9032,9295
2125-12-31,9047,8947
2126-12-31,9197,9303
2127-12-31,9238,9272
2128-12-31,9484,9249
2129-12-31,9896,9814
2130-12-31,10247,10377
2131-12-31,10605,10552
2132-12-31,10659,10843
2133-12-31,10935,11146
2134-12-31,11143,11340
2135-12-31,11635,11567
2136-12-31,11850,11954
2137-12-31,12115,12302
2138-12-31,12308,12451
2139-12-31,12677,12757
2140-12-31,12767,12940
2141-12-31,12964,12782
2142-12-31,13288,12909
2143-12-31,13394,13477
2144-12-31,13944,13597
2145-12-31,14104,14163
2146-12-31,14137,13832
2147-12-31,14479,14239
2148-12-31,14824,14585
2149-12-31,14926,15007
2150-12-31,15582,15427
2151-12-31,16350,16611
2152-12-31,17021,16727
2153-12-31,17602,17723
2154-12-31,17981,17722
2155-12-31,18294,18318
2156-12-31,18340,18681
2157-12-31,18592,18950
2158-12-31,18793,18758
2159-12-31,18815,19176
2160-12-31,19285,19588
2161-12-31,19899,19549
2162-12-31,20805,20244
2163-12-31,21229,21418
2164-12-31,21610,22251
2165-12-31,22206,21915
2166-12-31,23249,22756
2167-12-31,23474,23466
2168-12-31,23816,24447
2169-12-31,23835,23786
2170-12-31,24858,25552
2171-12-31,25360,25480
2172-12-31,25747,25911
2173-12-31,26055,25739
2174-12-31,26147,26327
2175-12-31,27067,27384
2176-12-31,27811,28290
2177-12-31,27971,28714
2178-12-31,28023,28778
2179-12-31,29203,29819
2180-12-31,30446,30980
2181-12-31,30811,31636
2182-12-31,32158,31906
2183-12-31,33090,32353
2184-12-31,33483,33461
2185-12-31,35105,34809
2186-12-31,36827,36210
2187-12-31,38580,39135
2188-12-31,40338,39276
2189-12-31,41788,41716
2190-12-31,43800,44470
2191-12-31,44457,44834
2192-12-31,44540,44781
2193-12-31,45763,46510
2194-12-31,46066,45292
